Description,Violation Type
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,Citation
HEADLIGHTS (*),ESERO
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,Warning
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Warning
STOP LIGHTS (*),ESERO
DRIVING  MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Citation
DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,Citation
"PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
STOPLIGHT INOPERATIVE,Warning
FAILURE TO PROPERLY EQUIP & LOCATE HEADLAMPS ON MOTOR VEH.,Warning
DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT,Warning
MOTOR VEH. W/O REQUIRED STOP LAMPS EQUIPMENT,Warning
DRIVER CHANGING LANES WHEN UNSAFE,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
FAILURE TO PROPERLY EQUIP & LOCATE HEADLAMPS ON MOTOR VEH.,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation
DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION,Warning
DRIVING VEH. ON HWY WITH LAMP IMPROPERLY DISPLAYING WHITE LIGHT FROM REAR,Warning
DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION,Warning
MOTOR VEH. W/O REQUIRED STOP LAMPS EQUIPMENT,Warning
DRIVER FAILURE TO YIELD RIGHT OF WAY ENTERING HWY. FROM PRIVATE DRIVEWAY,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Citation
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,Citation
DRIVER PERMITTING PERSON TO OCCUPY AREA OF VEHICLEPRIMARILY INTENDED TO CARRY CARGO,Citation
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Citation
"NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106.,Citation
FAILURE TO PROPERLY EQUIP & LOCATE HEADLAMPS ON MOTOR VEH.,Warning
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Citation
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Citation
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation
FAILURE TO SECURELY FASTEN REGISTRATION PLATE TO VEHICLE,Citation
KNOWINGLY DRIVING UNINSURED VEHICLE,Citation
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,Citation
UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,Citation
MOTOR VEHICLE W/O REQUIRED STOP LAMPS EQUIPMENT,Warning
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION,Warning
FAILURE TO STOP AT STOP SIGN,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
FAILURE TO EQUIP VEH. WITH REQUIRED REAR STOP LAMP,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning
TAILLIGHTS (*),ESERO
TAG LIGHTS (*),ESERO
HEADLIGHTS (*),ESERO
STOP LIGHTS (*),ESERO
DRIVER CHANGING LANES WHEN UNSAFE,Warning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning
WILLFULLY DRIVING MOTOR VEH. AT SLOW SPEED IMPEDING NORMAL AND REASONABLE TRAFFIC MOVEMENT,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,Warning
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,Citation
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Warning
EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,Citation
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,Warning
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,Citation
MOTOR VEH.W/O REQUIRED STOP LAMPS EQUIPMENT,Warning
EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,Warning
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Citation
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Warning
STOP LIGHTS (*),ESERO
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Warning
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation
FAIL TO DISPLAY REG. CARD ON DEMAND,Citation
STOP LIGHTS (*),ESERO
AGGRESSIVE DRIVING,Citation
DRIVER CHANGING LANES WHEN UNSAFE,Citation
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Citation
DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,Citation
DRIVER USE OF MOTOR VEH. HORN ON HWY. WHEN NOT REASONABLY NECESSARY FOR SAFETY,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Citation
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,Citation
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation
EXCEEDING MAXIMUM SPEED: 60 MPH IN A POSTED 25 MPH ZONE,Citation
FAILURE TO STOP AT STOP SIGN,Citation
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,Citation
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,Citation
EXCEEDING MAXIMUM SPEED: 50 MPH IN A POSTED 40 MPH ZONE,Citation
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation
FAILURE TO STOP AT STOP SIGN AT NEAREST POINT OF APPROACHING TRAFFIC VIEW,Citation
HOLDER OF LEARNER'S PERMIT DRIVING W/O REQ. SUPERVISION,Citation
CAUSING STANDING VEH. TO OBSTRUCT FREE VEH. PASSAGE OF ROADWAY,Warning
EXCEEDING MAXIMUM SPEED: 60 MPH IN A POSTED 40 MPH ZONE,Citation
MOTOR VEH. W/O REQUIRED STOP LAMPS EQUIPMENT,Citation
